CompanyID,Company_Name,Industry,Employee_Count,LinkedIn_Followers
C41,Dover India,Machinery  ,1000 ,53466 
C42,AFIV DATA OUTSOURCING,Information Technology & Services,50 ,14591 
C43,Honeywell,Electrical & Electronic Manufacturing,10001,2221925 
C44,E Connect Solutions Pvt. Ltd,Information Technology & Services,1000 ,4438 
C45,vi,Fincial Services,1000 ,163249 
C46,AVEVA ,Computer Software,5000 ,220860 
C47,WNS,Outsourcing/Offshoring,10001,499613 
C48,Simplify Healthcare,Information Technology & Services,1000 ,62475
C49,Taurus Contractors Pvt Ltd ,Oil & Energy,50 ,28308 
C50,LKQ Corporation,Automotive  ,10001,43182 
C51,Mahindra Group,Executive Office,10001,998435 
C52,Ford Motor Company,Automotive  ,10001,3645053 
C53,Iris Software Inc,Information Technology & Services,5000 ,230574 
C54,Zepto ,Computer Software,200 ,94160 
C55,Michelin ,Automotive  ,10001,616381 
C56,Citi,Fincial Services,10001,3813311 
C57,Moody's Corporation ,Fincial Services,10001,142187 
C58,Mastercard,Information Technology & Services,10001,1096069 
C59,Bread Fincial ,Fincial Services,10000 ,69790 
C60,R1 RCM ,Hospital & Health Care,10001,98792 
C61,BNY Mellon,Fincial Services,10001,444685 
C62,Target,Retail  ,10001,1557165 
C63,Levi Strauss & Co,Apparel & Fashion,10001,601539 
C64,yara Energy ,Oil & Energy,5000 ,189323 
C65,Clario ,Computer Software,10000 ,39755 
C66,Juniper Networks,Computer Software,10000 ,630166
C67,Charcoal.linkedIn, Consumer Electronics,10 ,14647 
C68,TransUnion ,Information Technology & Services,10000 ,277661 
C69,Saveo.in,"Health, Wellness & Fitness",200 ,44879 
C70,Cie,Telecommunications  ,10000 ,171020 
C71,Merilytics,Magement Consulting,500 ,42957 
C72,BlackRock ,Fincial Services,10001,1160704 
C73,Embibe ,E-learning,1000 ,65732 
C74,Deloitte ,Magement Consulting,10001,10651643 
C75,Pocket FM,Internet  ,500 ,89972 
C76,Momentive,Chemicals  ,10000 ,65651 
C77,FactSet ,Information Technology & Services,10001,169685 
C78,Lenovo,Information Technology & Services,10001,831255 
C79,Societe Generale Global Solution Centre,Information Technology & Services,10000 ,224654 
C80,Promaynov Advisory Services Pvt. Ltd ,Human Resources,50 ,2292 
C81,Tata Group, Executive Office,10001,1816083 
C82,edamama,Retail  ,200 ,3288 
C83,Talent500,Human Resources,200 ,76573 
C84,Boeing,Aviation & Aerospace,10001,2777840 
C85,Molex,Electrical & Electronic Manufacturing,10001,151954 
C86,IBM ,Information Technology & Services,10001,14405435 
C87,Dell Technologies,Information Technology & Services,10001,4170257 
C88,IDEMIA ,Information Technology & Services,10001,480426
C89,Randstad India,Human Resources,5000 ,382650 
C90,Quess IT Staffing ,Staffing & Recruiting,10001,242803 
C91,Merito.in,Staffing & Recruiting,10 ,7486 
C92,Bayer ,Chemicals  ,10001,4509594 
C93,Ubiquity ,Outsourcing/Offshoring,10000 ,65866 
C94,YouGov ,Market Research,5000 ,333491 
C95,Media.net ,Internet  ,5000 ,227081 
C96,NCR Corporation ,Information Technology & Services,10001,409137 
C97,ARM Worldwide,Advertising Services,226,13671
C98,Kraft-Obench - WFH Pods | Home Offices | Sound Insulated Work Pods,Furniture and Home Furnishings Manufacturing,7,2110
C99,T and T Realty Services Private Limited,Real Estate,44,3648
C100,SkyTrust IT Solutions,Advertising Services,10,946
C101,Bizgurukul,Advertising Services,2467,39172
C102,Valves Only,Industrial Machinery Manufacturing,2,2668
C103,The Golden Rise,Wellness and Fitness Services,32,11317
C104,Supergrad,"echnology, Information and Internet",14,1146
C105,Student Inc.,Education Administration Programs,110,13694
C106,Crepdog Crew,Retail Apparel and Fashion,19,2469
C107,RecruitNXT,IT Services and IT Consulting,239,26396
C108,Phixman,"Technology, Information and Internet",29,2812
C109,Instamedz,Wellness and Fitness Services,13,3461
C110,Coincent.ai,E-Learning Providers,84,10426
C111,Vivaci Luxury Pvt. Ltd.,Advertising Services,5,2055
C112,VRAKSH,Events Services,1,1171
C113,EntreLeadership,Business Consulting and Services,50,34034
C114,4WD Gaming,Public Relations and Marketing Agency,5,13
C115,VPLAK,Computers and Electronics Manufacturing,15,1172
C116,Achievers Club (Digital network Marketing),Advertising Services,2,745
C117,Codage Habitation,Information Services ,50,17
C118,Spell Web InfoTech,IT Services and IT Consulting,22,615
C119,Aarka Sports Magement Pvt. Ltd.,Sports,50,132
C120,MARS Exploration Pvt Ltd,Aviation & Aerospace,50,529
C121,Teamwork Communications Group,Public Relations & Communications,200,56
C122,Growup Outsourcing,Outsourcing/Offshoring,200,6
C123,7 STAR MEDTECH PVT. LTD.,Marketing & Advertising,50,9
C124,KBK Business Solutions,Information Technology & Services,200,25
C125,StartupFlux,Information Technology & Services ,50,23
C126,"""Work From Home""",Human Resources Services,5,2073841
C127,Tax Advisory,Legal Services ,10,3
C128,Digiwebcore,Information Technology & Services,0,1339
C129,ILP Overseas | Intertiol Learning Planners,Education Magement,5000,708
C130,Work From Home Opportunity,E-learning,200,3018
C131,Flash Me Right,Information Technology & Services,10,7
C132,PR Professiols,Public Relations & Communications ,200,56
C133,Collegedunia,Information Technology & Services,1000,1444
C134,Flexsin,Information Technology & Services,500,401
C135,KnowledgeWorks Global Ltd.,Book and Periodical Publishing,1038,3039
C136,WhizCo,Online Media,200,133
C137,Corizo,E-learning,200,136
C138,Team4progress technologies,Information Technology & Services,120,25
C139,ONLINE WORK FROM HOME,Human Resources Services,5,2073928
C140,Work From Home/ Fresher & Experience Jobs,Human Resources Services,1274,229016
C141,Mantra Care,Hospital & Health Care ,500,76
C142,Lernx,E-learning,200,262
C143,WORK FROM HOME/DIGITAL OPPORTUNITY,Human Resources Services,1274,229016
C144,GreenBhumi,Environmental Services,239,24806
C145,Apponward Technologies,Information Technology & Services,200,30
C146,Kalkine Media Australia,Education Magement ,5000,42703 
C147,Appy Pie,Information Technology & Services ,500,15051
C148,Clarity,"Health, Wellness & Fitness",500,27366
C149,work from anywhere,"Health, Wellness & Fitness",1000,54517
C150,CUR8,Computer Software,50,18857
C151,Karyarth,Magement Consulting,50,15156
C152,Connplex,Entertainment,500,795
C153,Ascent BPO Services Pvt. Ltd.,Outsourcing/Offshoring,50,13050
C154,Suvidha Foundation (Suvidha Mahila Mandal),Non-profit Organization Magement,1000,49516
C155,Genpact,Information Technology & Services,10001,2032291 
C156,Madify,Marketing & Advertising ,10,565
C157,Wipro,IT Services and IT Consulting,294536,6072255
C158,Third Eye Automation Pvt. Ltd,Marketing & Advertising ,50,96
C159,Part Time & Freelancing,Magement Consulting,500,17460
C160,Hitachi Vantara,Information Technology & Services,10000,497397
C161,Antino,Information Technology & Services,500,15139
C162,Square Yards,Real Estate,5000,207509 
C163,Project C Foundation - We Care For Your Mental Health,Non-profit Organization Magement,200,6983 
C164,Health & Wellness Industry,"Health, Wellness & Fitness ",200,20578 
C165,PeakPals,"Health, Wellness & Fitness",51,4037 
C166,Yokins Instruments Pvt Ltd,"Appliances, Electrical, and Electronics Manufacturing",9,93
C167,Kapable,E-learning ,50,12717 
C168,MBA Hub,E-learning,10,26284 
C169,Wildlife Trust of India,Non-profit Organization Magement,200,8403 
C170,RicheMoi,IT Services and IT Consulting,279,5782 
C171,Triller,Computer Software,500,45224 
C172,Krash IT Services,IT Services and IT Consulting,8,1279
C173,The Gift Tree - Corporate Gift Hampers Co. ðŸŽðŸŽðŸŽ,Food and Beverage Services,2,72
C174,Million Minds Magement Services Ltd.,Staffing and Recruiting,236,4375 
C175,NIRVODAY RECRUITMENT CELL,Information Technology & Services,50,1403 
C176,Millioiretrack,Book and Periodical Publishing,0,139
C177,triedge.in,Internet,50,28630 
C178,Government Project,Services,0,100
C179,MAXMOON SOLUTIONS Private Limited,Marketing & Advertising ,200,243
C180,Aashman Foundation,Non-profit Organization Magement,5000,111480 
C181,MomkidcareÂ®,Hospital & Health Care ,50,13425 
C182,Gartner,Information Service,10001,1416744 
C183,igebra.ai,E-learning,200,4998
C184,SoluLab,Information Technology & Services,200,36810 
C185,ONLINE WORK FROM HOME OPPORTUNITY,E-learning ,10001,6175 
C186,Professionbeat,E-learning,5640 ,10
C187,digital networking,Marketing & Advertising,50,1198 
C188,GrowthX By Trustvardi,Marketing & Advertising,10,256 
C189,Teachwell Professiol Studies Institute Pvt Ltd,Education Administration Programs,53,449
C190,Support And Care Humanity Foundation,Non-profit Organizations,287,5586 
C191,BAVCH EDUTECH,E-learning,82,7774 
C192,"Work at Home Jobs - Online, Professiol, Remote & Digital Marketing Team.",Photography,10,520 
C193,sharda services,Education Administration Programs,56,687 
C194,Moneyplus Fincial Services Pvt. Ltd.,Fincial Services,200,614 
C195,Part time work from home oppotunity,"Health, Wellness & Fitness",500,53430 
C196,VAYUZ Technologies,Information Technology & Services,200,6589
C197,Mentorsity,E-learning,200,19523
C198,XP&D,Marketing & Advertising,200,2788 
C199,sinzo,Information Technology & Services,200,16413 
C200,Business Web Solutions,Information Technology & Services,10,34512 
C201,Empowering Women$,"Health, Wellness & Fitness",10000,28164 
C202,HSBC,Fincial Services,10001,3044675
C203,Amdocs,Telecommunications,10001,855528
C204,Luxoft,IT Services and IT Consulting,10001,764385
C205,Uniphore,IT Services and IT Consulting,1000,45066
C206,Western Union,Fincial Services,10000,234769
C207,Cyient,IT Services and IT Consulting,10001,264396
C208,Air Products India,Chemical Manufacturing,5000,30048
C209,HP,IT Services and IT Consulting,10001,5101101
C210,VIAVI Solutions,Telecommunications,5000,75719
C211,Hansen Technologies,Software Development,170,24385
C212,SmartServ,Software Development,200,14628
C213,Yudiz Solutions,IT Services and IT Consulting,1000,19488
C214,BMC Software,IT Services and IT Consulting,10000,239980
C215,Evolent Health,Hospitals and Health Care,5000,63236
C216,LTI - Larsen & Toubro Infotech,IT Services and IT Consulting,10001,1760160
C217,Zebra Technologies,IT Services and IT Consulting,10000,260894
C218,Intelerad Medical Systems,Medical Equipment Manufacturing,1000,64937
C219,pier Healthcare,IT Services and IT Consulting,500,18355
C220,Goken America,Design Services,500,6475
C221,ArBis & Associates,Software Development,44835,120
C222,TeamPlus Staffing Solution Pvt Ltd,Staffing and Recruiting,18568,3825
C223,Johnson Controls,Industrial Machinery Manufacturing,10001,1149075
C224,Worley,Professiol Services,10001,1001176
C225,IBM,IT Services and IT Consulting,10001,14405502
C226,JPMorgan Chase & Co.,Fincial Services,10001,3321410
C227,Autoliv ,Motor Vehicle Manufacturing,14234,
C228,Volvo Group,Motor Vehicle Manufacturing,10000,64576
C229,Verint ,Information Technology & Services,10000,115749 
C230,Tata Consultancy Services ,Information Technology & Services,10001,10607460
C231,GlobalLogic,Computer Software,10000,642397 
C232,Flipkart,Computer Software,10000,2912399 
C233,Luxoft ,Information Technology & Services,10000,764411
C234,Amazon,Computer Software,10000,27544868
C235,Dell Technologies ,Information Technology & Services,10000,4170269
C236,BYJU'S,E-learning,10000,1534350 
C237,HealthSignz Technologies Pvt. Ltd,Information Technology & Services ,200,4853
C238,Pure Storage ,Information Technology & Services,5000,283462
C239,NewSpace Research and Technologies,Aviation & Aerospace,200,72113
C240,Accurate Bearing Components,Automotive,200,424
C241,Tech Mahindra,Information Technology & Services,10000,3640847
C242,UPL,Farming,10000,315529
C243,Fidelity Investments ,Fincial Services,10000,712805
C244,Bangalore School of Design ,Higher Education,50,1085
C245,Molex ,Electrical & Electronic Manufacturing ,10000,151957
C246,LTI - Larsen & Toubro Infotech ,Information Technology & Services,10000,1760206
C247,HCL Technologies ,Information Technology & Services,10000,4061543
C248,Growel Softech Ltd,Information Technology & Services,1000,20483
C249,Siemens Gamesa ,Renewables & Environment ,10000,636231
C250,SATS Ltd.,Airlines/Aviation,10000,96828
C251,Trane Technologies ,Mechanical Or Industrial Engineering,10000,77201 
C252,Ola ,Computer Software,10000,845719
C253,Arm,Semiconductors,10000,339185
C254,Samya.ai,Computer Software,50,9872
C255,Zynga,Computer Games,5000,196183
C256,Cargill ,Food Production,10000,1953189
C257,EY,Accounting,10000,6654058
C258,Northern Trust Corporation,Fincial Services,10000,332083 
C259,SUEZ,Environmental Services,10000,291967
C260,SBM uvata ,Oil & Energy ,1000,13587
C261,"Rubrik, Inc.",Computer Software,5000,148115
C262,Apple ,Consumer Electronics,10000,17263708
C263,Bear House Clothing Pvt Ltd ,,,
C264,TRISHA Interiors Extraordiire ,,,
C265,ABB,Electrical & Electronic Manufacturing ,10000,2855753
C266,Google,Computer Software,10000,26114780 
C267,CSB Bank Limited ,Banking,5000,36447 
C268,Prodapt,Media Production,10000,45424
C269,Golden Opportunities ,Staffing & Recruiting,200,80745
C270,NTT DATA Services,Information Technology & Services,10000,446224
C271,Societe Generale Global Solution Centre ,Information Technology & Services,10000,224658
C272,Pickyourtrail ,"Leisure, Travel & Tourism",200,16636
C273,TNQ Technologies ,Publishing,5000,21819 
C274,LIC ,Insurance,10000,98841
C275,Avaesa , Retail ,50,2269
C276,Procter & Gamble,Consumer Goods,10000,7040644
C277,Star Fing ,Fincial Services,500,3946 
C278,Hilton ,Hospitality,10000,1660195
C279,Zenitus Technologies,Information Technology & Services,50,2057
C280,Red Group ,Real Estate,10,8672
C281,BNP Paribas,Banking,10000,1182856 
C282,White Force Group ,Staffing & Recruiting,500,24258
C283,QuestWorkx,Human Resources ,10,2878
C284,ACZ Global Pvt Ltd,Human Resources ,50,5047
C285,Lennox India Technology Centre,Mechanical Or Industrial Engineering,1000,29271
C286,Onqanet Technologies Pvt. Ltd.,Information Technology & Services,200,814
C287,Zero Gravity Photography,Photography,500,2781
