Job_id,Job,Company Name,location,Industry,Employee Count,LinkedIn_Followers,Involvement,Level ,Total_Applicants
J284,Talent Acquisition Lead,Autoliv ,"Bengaluru North, Karnataka, India",Motor Vehicle Manufacturing,14234,,Full-time ,Associate,37
J285,Lead - Talent Acquisition,Volvo Group,"Bengaluru, Karnataka, India",Motor Vehicle Manufacturing,10000,"64,576",Full-time,NA,200
J286,Associate Analyst - SOC,Verint ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","115,749 ",Full-time, Entry level,108
J287,Database Architect,Tata Consultancy Services ,"Bengaluru, Karnataka, India",Information Technology & Services,"10,001+","1,06,07,460",Full-time ,Mid-Senior ,45
J288,Infrastructure Architect,GlobalLogic,"Bengaluru, Karnataka, India ",Computer Software,"10,000","642,397 ",Full-time,Mid-Senior ,85
J289,Site Reliability Engineer 3,Flipkart,"Bengaluru, Karnataka, India ",Computer Software,"10,000","2,912,399 ",Full-time,NA,118
J290,Test Analyst (Retail Banking),Luxoft ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","7,64,411",Full-time,Mid-Senior,96
J291,Team Lead,Amazon,"Bengaluru, Karnataka, India ",Computer Software,"10,000","2,75,44,868",Full-time,Mid-Senior,43
J292,Principal Software Engineer,Dell Technologies ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","41,70,269",Full-time,Mid-Senior,21
J293,Senior Site Reliability Engineer,BYJU'S,"Bengaluru, Karnataka, India ",E-learning,"10,000","1,534,350 ",Full-time,Associate,165
J294,Technical Architect,HealthSignz Technologies Pvt. Ltd,"Bengaluru, Karnataka, India ",Information Technology & Services ,200,"4,853",Full-time,NA,58
J295,Senior Database Solutions Architect,Pure Storage ,"Bengaluru, Karnataka, India ",Information Technology & Services,"5,000","2,83,462",Full-time,NA,41
J296,Full Stack Developer,NewSpace Research and Technologies,"Bengaluru, Karnataka, India ",Aviation & Aerospace,200,"72,113",Full-time,Mid-Senior ,31
J297,Quality Management Representative,Accurate Bearing Components,"Dodballapura, Karnataka, India",Automotive,200,424,Full-time,NA,95
J298,Technical system Adminstrator,Tech Mahindra,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","36,40,847",Full-time,Mid-Senior ,57
J299,Analytics Engineer,UPL,"Bengaluru, Karnataka, India ",Farming,"10,000","3,15,529",Full-time,Mid-Senior ,9
J300,Database Administrator,Fidelity Investments ,"Bengaluru, Karnataka, India ",Financial Services,"10,000","7,12,805",Full-time,NA,51
J301,Admissions Counselor,Bangalore School of Design ,"Bengaluru, Karnataka, India ",Higher Education,50,"1,085",Full-time,NA,77
J302,CAD Designer,Molex ,"Bengaluru, Karnataka, India ",Electrical & Electronic Manufacturing ,"10,000","1,51,957",Full-time,Entry ,200
J303,MIM (Major Incident Management),LTI - Larsen & Toubro Infotech ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","17,60,206",Full-time,Associate,200
J304,Mechanical Drafter,HCL Technologies ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","40,61,543",Full-time,Mid-Senior ,200
J305,Hardware Design Engineer,Growel Softech Ltd,"Bengaluru, Karnataka, India ",Information Technology & Services,"1,000","20,483",Full-time,Mid-Senior ,63
J306,Structural engineer,Siemens Gamesa ,"Bengaluru, Karnataka, India ",Renewables & Environment ,"10,000","6,36,231",Full-time,Entry ,103
J307,Maintenance Executive,SATS Ltd.,"Bengaluru, Karnataka, India ",Airlines/Aviation,"10,000","96,828",Full-time,Associate,200
J308,Senior Engineer,Trane Technologies ,"Bengaluru, Karnataka, India ",Mechanical Or Industrial Engineering,"10,000","77,201 ",Full-time,Associate,173
J309,EDA Tool Developer,IBM ,"Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","1,44,05,595",Full-time,NA,11
J310,High Power Electronics Integration Senior Manager,Ola ,"Bengaluru, Karnataka, India ",Computer Software,"10,000","8,45,719",Full-time,Mid-Senior ,30
J311,Staff Software Engineer,Arm,"Bengaluru, Karnataka, India ",Semiconductors,"10,000","3,39,185",Full-time,Associate,23
J312,Project Manager,Samya.ai,"Bengaluru, Karnataka, India ",Computer Software,50,"9,872",Full-time, Mid-Senior,200
J313,Engineering Manager,Zynga," Bengaluru, Karnataka, India ",Computer Games,"5,000","1,96,183",Full-time, Mid-Senior,125
J314,Production Executive,Cargill ," Bengaluru, Karnataka, India ",Food Production,"10,000","19,53,189",Full-time, Mid-Senior,200
J315,Solution Architect,EY," Bengaluru, Karnataka, India ",Accounting,"10,000","66,54,058",Full-time,Associate,35
J316,Lean Product Owner,Northern Trust Corporation," Bengaluru, Karnataka, India ",Financial Services,"10,000","332,083 ",Full-time,Mid-Senior ,200
J317,SDN Cloud Consultant / Architect,Juniper Networks," Bengaluru, Karnataka, India ",Computer Software,"10,000","6,30,179",Full-time,Director,87
J318,Manager - Piping,SUEZ," Bengaluru, Karnataka, India ",Environmental Services,"10,000","2,91,967",Full-time,Mid-Senior,51
J319,Safety Case Coordinator,SBM Nauvata ," Bengaluru, Karnataka, India ",Oil & Energy ,"1,000","13,587",Full-time,Mid-Senior,200
J320,Software Engineer,"Rubrik, Inc."," Bengaluru, Karnataka, India ",Computer Software,"5,000","1,48,115",Full-time,Entry ,200
J321,CNC Manufacturing Design Engineer,Apple ," Bengaluru, Karnataka, India ",Consumer Electronics,"10,000","1,72,63,708",Full-time,NA,200
J322,Content Creator,Bear House Clothing Pvt Ltd ," Bengaluru, Karnataka, India ",NA,NA,NA,Full-time,NA,18
J323,Interior Designer,TRISHA Interiors Extraordinaire ," Bengaluru, Karnataka, India ",NA,NA,NA,Full-time,NA,200
J324,Principal Software Engineer,Dell Technologies ," Bengaluru, Karnataka, India ",Information Technology & Services,"10,000","41,70,269",Full-time,Mid-Senior,21
J325,Procurement Specialist,ABB," Bengaluru, Karnataka, India ",Electrical & Electronic Manufacturing ,"10,000","28,55,753",Full-time,NA,200
J326,"SoC Physical Design Engineer, Google Cloud",Google," Bengaluru, Karnataka, India ",Computer Software,"10,000","26,114,780 ",Full-time,NA,89
J327,Test Analyst (Cards & Payments),Luxoft ,"Chennai, Tamil Nadu, India ",Information Technology & Services,"10,000","7,64,511",Full-time,Mid-Senior,133
